<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IMOEX,D,18/01/21,000000,3436.3900000,3475.1800000,3426.1100000,3471.9200000,91986682524
IMOEX,D,19/01/21,000000,3484.4600000,3491.9300000,3439.6400000,3443.2300000,86376065250
IMOEX,D,20/01/21,000000,3457.0000000,3482.0300000,3447.8100000,3466.8000000,75713649369
IMOEX,D,21/01/21,000000,3483.5300000,3489.0700000,3407.2200000,3422.6700000,114885874902
IMOEX,D,22/01/21,000000,3398.1500000,3399.2800000,3362.0100000,3382.9200000,110658345786
IMOEX,D,25/01/21,000000,3407.3900000,3425.7800000,3385.7400000,3397.4800000,106641524465
IMOEX,D,26/01/21,000000,3382.3900000,3408.1300000,3374.1000000,3390.7600000,80219370108
IMOEX,D,27/01/21,000000,3400.5900000,3408.6400000,3333.0400000,3343.6200000,105541897596
IMOEX,D,28/01/21,000000,3317.0800000,3359.1000000,3307.4200000,3342.0100000,91770358436
IMOEX,D,29/01/21,000000,3331.5200000,3337.0100000,3272.5300000,3277.0800000,112809515369
IMOEX,D,01/02/21,000000,3285.3600000,3305.9100000,3268.5200000,3291.1400000,85956218339
IMOEX,D,02/02/21,000000,3329.6700000,3366.1300000,3321.7000000,3360.2500000,98393387622
IMOEX,D,03/02/21,000000,3350.9700000,3376.8300000,3332.5000000,3343.4600000,79634530378
IMOEX,D,04/02/21,000000,3359.7900000,3384.4800000,3351.9400000,3372.0000000,88134034619
IMOEX,D,05/02/21,000000,3399.9300000,3406.2200000,3368.5800000,3392.7300000,86590382240
